Image_ID,class,confidence,ymin,xmin,ymax,xmax
id_u3q6jdck4j.jpg,Trophozoite,1.0,712,1241,737,1270
id_a6cl90trri.jpg,Trophozoite,1.0,558,1566,600,1604
id_qvc2le9sm8.jpg,Trophozoite,1.0,1317,2788,1448,2914
id_w8xnbd5rvm.jpg,Trophozoite,1.0,925,1744,1041,1823
id_6dop09rk02.jpg,NEG,1.0,0,0,0,0
id_i7r9hkhxvx.jpg,WBC,1.0,846,906,903,963
id_fzogq9kijh.jpg,WBC,1.0,641,280,711,373
id_i8qcpi8ey9.jpg,Trophozoite,1.0,501,1141,532,1170
id_y0me081u0v.jpg,NEG,1.0,0,0,0,0
id_2phbgf1x5m.jpg,Trophozoite,1.0,687,1169,725,1205
id_8l8zssuabc.jpg,Trophozoite,1.0,1807,1992,1897,2082
id_i4d0ulpq39.jpg,WBC,1.0,799,838,863,906
id_pwiv4czvne.jpg,Trophozoite,1.0,391,3002,513,3087
id_8y0uii4k60.jpg,Trophozoite,1.0,1950,2315,2077,2410
id_ylrsd2a6k4.jpg,Trophozoite,1.0,25,923,59,957
id_n0dqkovtp3.jpg,Trophozoite,1.0,229,637,263,673
id_5bbz3srksa.jpg,Trophozoite,1.0,673,1455,713,1495
id_e3tep47339.jpg,Trophozoite,1.0,679,794,711,822
id_ytq3slqkjm.jpg,Trophozoite,1.0,108,768,148,800
id_nzkpf8tr8o.jpg,WBC,1.0,479,1091,549,1169
id_a1ladv8a2p.jpg,Trophozoite,1.0,454,656,488,694
id_7chz2q4dsm.jpg,Trophozoite,1.0,537,755,565,797
id_fvpi1edl84.jpg,Trophozoite,1.0,1708,2390,1820,2482
id_9cikz22vmm.jpg,WBC,1.0,1237,1173,1433,1374
id_6bs4zqzvfr.jpg,Trophozoite,1.0,369,1082,401,1116
id_331urb6uko.jpg,Trophozoite,1.0,645,219,685,261
id_7fd9tfijwa.jpg,Trophozoite,1.0,602,1088,636,1122
id_e20xnaq5qn.jpg,Trophozoite,1.0,849,1358,904,1409
id_db7urn6j1g.jpg,Trophozoite,1.0,751,980,787,1022
id_vmj225uyxh.jpg,Trophozoite,1.0,556,1127,588,1157
id_lpc9b0h4yl.jpg,Trophozoite,1.0,1744,2990,1815,3061
id_5gudsszz0t.jpg,Trophozoite,1.0,451,182,475,207
id_tmtzoe9bns.jpg,Trophozoite,1.0,297,1343,333,1375
id_7fc9zyfy0e.jpg,Trophozoite,1.0,907,3149,1005,3242
id_tgqn7f4tx0.jpg,Trophozoite,1.0,2219,534,2304,650
id_fa626uztwq.jpg,Trophozoite,1.0,914,1175,946,1211
id_ytq3slqkjm.jpg,Trophozoite,1.0,976,834,1014,872
id_pnave1opt9.jpg,Trophozoite,1.0,1006,1016,1039,1055
id_napzy4l85v.jpg,Trophozoite,1.0,106,1595,136,1629
id_ytq3slqkjm.jpg,Trophozoite,1.0,450,1424,492,1462
id_0v91pruf44.jpg,Trophozoite,1.0,1941,634,2072,798
id_8ztw2t9cet.jpg,WBC,1.0,165,1039,248,1109
id_r1h52tth8l.jpg,Trophozoite,1.0,403,1754,441,1790
id_xculy3gzpk.jpg,Trophozoite,1.0,569,1424,626,1471
id_glyh3dol96.jpg,Trophozoite,1.0,284,436,306,467
id_6g52lmvz2y.jpg,WBC,1.0,518,193,579,244
id_a6cl90trri.jpg,WBC,1.0,742,899,797,950
id_sillt0ixj9.jpg,Trophozoite,1.0,2427,1558,2536,1684
id_z0i61ad0tq.jpg,Trophozoite,1.0,970,463,1000,491
id_58ee05nnpt.jpg,Trophozoite,1.0,479,1010,509,1038
id_vvcixbrht6.jpg,WBC,1.0,448,426,510,500
id_vtppfsimst.jpg,WBC,1.0,1379,5,1559,153
id_j0s3jncce7.jpg,WBC,1.0,629,565,803,755
id_y5sidvg3w2.jpg,WBC,1.0,255,339,317,403
id_xa4qfbdy8x.jpg,Trophozoite,1.0,333,1438,464,1569
id_8x0h7f3orn.jpg,Trophozoite,1.0,1363,1846,1470,1958
id_yfgqifa1av.jpg,WBC,1.0,1860,417,2040,544
id_0e1cx570oo.jpg,Trophozoite,1.0,1458,809,1574,931
id_q4pmxshnf8.jpg,Trophozoite,1.0,2489,3128,2616,3218
id_4xe7v3uzb0.jpg,Trophozoite,1.0,239,1121,280,1150
id_az75itcgjz.jpg,Trophozoite,1.0,123,702,165,757
id_y4hd9yvh59.jpg,WBC,1.0,359,1201,418,1263
id_iwm2km59xp.jpg,Trophozoite,1.0,180,1008,208,1042
id_2pye2ftpl6.jpg,NEG,1.0,0,0,0,0
id_iidcwndfgq.jpg,WBC,1.0,656,963,724,1018
id_pwiv4czvne.jpg,WBC,1.0,2854,3007,2997,3203
id_cv5yf1d2ap.jpg,Trophozoite,1.0,113,1059,149,1095
id_rqr7ifphi8.jpg,Trophozoite,1.0,1662,634,1766,738
id_b8vydytsyy.jpg,Trophozoite,1.0,950,1430,1084,1545
id_io6mu601ef.jpg,Trophozoite,1.0,867,1004,962,1083
id_e4124p2abl.jpg,WBC,1.0,119,1438,198,1531
